,id,url,titre,categorie,gouvernorat,neuf,source
82,82,https://www.tayara.tn/item/maisons-et-villas/tunis/tunis/villa-plain-pied-a-vendre-el-menzah-5/68ef99083e7ffb8ac15b7e17/,Villa plain pied a vendre à El Menzah 5,Maisons et Villas,tunis,False,tayara
83,83,https://www.tayara.tn/item/maisons-et-villas/ariana/el-menzah-6/villa-individuelle-a-vendre-el-menzah-6/690ce35a8e4e0e4acb5ea7ac/,Villa individuelle a vendre à El Menzah 6,Maisons et Villas,Ariana,False,tayara
84,84,https://www.tayara.tn/item/appartements/ariana/el-menzah-6/s3-a-vendre-a-el-menzah-6/68bfe86bc4782c5427af0bdc/,S+3 a vendre a El Menzah 6,Appartements,Ariana,False,tayara
85,85,https://www.tayara.tn/item/maisons-et-villas/ariana/el-menzah-6/a-vendre-villa/6924a46c6e0dc7ea5e33d9ef/,A vendre villa,Maisons et Villas,Ariana,False,tayara
86,86,https://www.tayara.tn/item/maisons-et-villas/tunis/tunis/triplex-en-vente/692742f6265523b710ebcfa9/,Triplex en vente,Maisons et Villas,tunis,False,tayara
87,87,https://www.tayara.tn/item/maisons-et-villas/ariana/el-menzah-5/villa-vendre/6932d0af8914daae51964b23/,Villa à vendre,Maisons et Villas,Ariana,False,tayara
88,88,https://www.tayara.tn/item/appartements/tunis/el-manar-2/-vendre-appartement-s4-el-manar-2/6920415c265523b710e8e525/,À Vendre – Appartement S+4 à El Manar 2,Appartements,Tunis,False,tayara
89,89,https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-des-appartements-s1-s2-s3-direct-promoteur-situ-la-nouvelle-soukra/6933ec6fcd04d08be7463ed7/,"À VENDRE : Des appartements S+1, S+2 & S+3 , (Direct Promoteur) situé à La Nouvelle soukra",Appartements,Tunis,False,tayara
90,90,https://www.tayara.tn/item/appartements/ariana/ennasr/-vendre-s3-a-ennassr-2/6880a5fad5464a896cb3f75e/,À vendre S+3 A ennassr 2,Appartements,Ariana,False,tayara
91,91,https://www.tayara.tn/item/appartements/nabeul/hammamet-nord/-/68e63b596c505afdc06109e7/,𝗔 𝘃𝗲𝗻𝗱𝗿𝗲 𝘂𝗻 𝗮𝗽𝗽𝗮𝗿𝘁𝗲𝗺𝗲𝗻𝘁 𝗦+𝟮 𝘀𝗶𝘁𝘂é à 𝗔𝗙𝗛 𝗠𝗿𝗲𝘇𝗴𝗮,Appartements,Nabeul,False,tayara
